Level	HP	ATK	DEF	SPD	Eff. H. R.	Eff. RES
1	45	12	210	83	0%	0%
2	59	14	220	83	0%	0%
3	61	15	230	83	0%	0%
4	76	20	240	83	0%	0%
5	80	21	250	83	0%	0%
6	83	22	260	83	0%	0%
7	87	23	270	83	0%	0%
8	91	25	280	83	0%	0%
9	95	26	290	83	0%	0%
10	99	26	300	83	0%	0%
11	106	29	310	83	0%	0%
12	113	32	320	83	0%	0%
13	120	34	330	83	0%	0%
14	127	37	340	83	0%	0%
15	134	40	350	83	0%	0%
16	141	42	360	83	0%	0%
17	148	45	370	83	0%	0%
18	155	48	380	83	0%	0%
19	162	50	390	83	0%	0%
20	169	53	400	83	0%	0%
21	181	57	410	83	0%	0%
22	194	62	420	83	0%	0%
23	206	66	430	83	0%	0%
24	218	71	440	83	0%	0%
25	231	75	450	83	0%	0%
26	243	80	460	83	0%	0%
27	255	84	470	83	0%	0%
28	268	89	480	83	0%	0%
29	280	93	490	83	0%	0%
30	293	98	500	83	0%	0%
31	316	104	510	83	0%	0%
32	340	109	520	83	0%	0%
33	364	115	530	83	0%	0%
34	388	121	540	83	0%	0%
35	412	127	550	83	0%	0%
36	436	132	560	83	0%	0%
37	460	138	570	83	0%	0%
38	484	144	580	83	0%	0%
39	508	150	590	83	0%	0%
40	531	155	600	83	0%	0%
41	602	163	610	83	0%	0%
42	672	171	620	83	0%	0%
43	743	179	630	83	0%	0%
44	813	187	640	83	0%	0%
45	883	195	650	83	0%	0%
46	954	203	660	83	0%	0%
47	1,024	210	670	83	0%	0%
48	1,095	218	680	83	0%	0%
49	1,165	226	690	83	0%	0%
50	1,235	234	700	83	0%	0%
51	1,406	244	710	83	0.8%	0.4%
52	1,577	255	720	83	1.6%	0.8%
53	1,747	265	730	83	2.4%	1.2%
54	1,918	276	740	83	3.2%	1.6%
55	2,089	286	750	83	4%	2%
56	2,259	297	760	83	4.8%	2.4%
57	2,430	307	770	83	5.6%	2.8%
58	2,601	317	780	83	6.4%	3.2%
59	2,771	328	790	83	7.2%	3.6%
60	2,942	338	800	83	8%	4%
61	3,178	348	810	83	8.8%	4.4%
62	3,414	358	820	83	9.6%	4.8%
63	3,649	368	830	83	10.4%	5.2%
64	3,885	377	840	83	11.2%	5.6%
65	4,121	387	850	91.3	12%	6%
66	4,357	397	860	91.3	12.8%	6.4%
67	4,593	407	870	91.3	13.6%	6.8%
68	4,829	416	880	91.3	14.4%	7.2%
69	5,064	426	890	91.3	15.2%	7.6%
70	5,300	436	900	91.3	16%	8%
71	5,596	447	910	91.3	16.8%	8.4%
72	5,892	459	920	91.3	17.6%	8.8%
73	6,188	471	930	91.3	18.4%	9.2%
74	6,484	482	940	91.3	19.2%	9.6%
75	6,780	494	950	91.3	20%	10%
76	7,076	506	960	91.3	20.8%	10%
77	7,371	517	970	91.3	21.6%	10%
78	7,667	529	980	99.6	22.4%	10%
79	7,963	541	990	99.6	23.2%	10%
80	8,259	552	1,000	99.6	24%	10%
81	8,676	563	1,010	99.6	24.8%	10%
82	9,109	574	1,020	99.6	25.6%	10%
83	9,557	585	1,030	99.6	26.4%	10%
84	10,023	597	1,040	99.6	27.2%	10%
85	10,505	608	1,050	99.6	28%	10%
86	11,005	619	1,060	109.56	28.8%	10%
87	11,524	630	1,070	109.56	29.6%	10%
88	12,062	641	1,080	109.56	30.4%	10%
89	12,620	652	1,090	109.56	31.2%	10%
90	13,199	663	1,100	109.56	32%	10%
91	13,799	674	1,110	109.56	32.8%	10%
92	14,421	685	1,120	109.56	33.6%	10%
93	15,066	696	1,130	109.56	34.4%	10%
94	15,735	707	1,140	109.56	35.2%	10%
95	16,429	718	1,150	109.56	36%	10%
